Sample,R1 and R2 Survived,Only R1 Survived,Only R2 Survived,Dropped
SRR25630406,"41,630,927 (97.50%)","343,166 (0.80%)","559,925 (1.31%)","163,336 (0.38%)"
SRR25630407,37199415 (96.82%),368339 (0.96%),582089 (1.52%),271133 (0.71%)
